Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,ZIP
c09181f8-6526-4de7-87c7-25c95ccdbdea,2014-06-06,,999-26-1662,,,,Lizbeth716,Hackett68,,,,white,irish,F,Denver  Pennsylvania  US,742 Parisian Run Suite 87,Pittsburgh,Pennsylvania,15106
8d1c4f3b-3d44-4daf-8962-cc260bad8c87,1969-05-10,,999-64-1895,S99989200,X16155415X,Mrs.,Augustine565,Conroy74,,Cremin516,M,asian,asian_indian,F,Unityship  Pennsylvania  US,931 Watsica Lock,Pittsburgh,Pennsylvania,15106
cb115d2a-56b5-42a7-bf64-0362505df9f2,1969-05-30,,999-28-4068,S99947751,X52116181X,Mr.,Rhett759,Mosciski958,,,M,asian,chinese,M,Macau  Macao Special Administrative Region of the People's Republic of China  CN,370 Gleichner Parade,Pittsburgh,Pennsylvania,15106
6ccb065a-c8c5-4e26-bdb0-890e3c4a09a9,1978-02-04,,999-10-2955,S99978432,X50404899X,Mrs.,Kendall673,Borer986,,Mitchell808,M,white,american,F,Readingship  Pennsylvania  US,542 Kling Ville,Pittsburgh,Pennsylvania,15106
c1da3187-6e62-41fd-a0b3-526126ab2fdc,1955-11-01,,999-33-4301,S99959679,X71558088X,Mrs.,Rosalva540,Hoeger474,,Kunde533,M,black,dominican,F,Philadelphia  Pennsylvania  US,779 Mante Street,Pittsburgh,Pennsylvania,15106
94e7228b-a247-49dc-848e-d1da03d25aa7,1966-10-13,,999-98-1498,S99935366,X32573453X,Mrs.,Delila667,Watsica258,,Gulgowski816,M,white,german,F,Brownsville  Pennsylvania  US,1025 Williamson Rest Unit 42,Pittsburgh,Pennsylvania,15106
7508c55c-9df1-4383-a5f2-1525bf6bfd65,1990-08-20,,999-45-9813,S99983032,X19438389X,Mrs.,Nanci249,Moore224,,Jones311,M,white,italian,F,Upper Allenship  Pennsylvania  US,563 Schimmel Bay,Pittsburgh,Pennsylvania,15106
7b3e6409-a3d8-4e70-bc21-8ad43de7229a,1947-01-31,,999-73-1665,S99984704,X63591725X,Mr.,Benedict104,Emard19,,,M,white,italian,M,Birdsboro  Pennsylvania  US,898 White Union,Pittsburgh,Pennsylvania,15106
8fc25f09-3ad8-4a65-ad4b-26b85c7f2e80,1995-07-03,,999-97-3322,S99999847,X13012321X,Ms.,Belia417,Zieme486,,,,white,irish,F,East Earlship  Pennsylvania  US,891 Graham Harbor,Pittsburgh,Pennsylvania,15106
17559551-5533-4b1f-8f14-302acd0ca444,1987-10-01,,999-19-5946,S99928524,X17989998X,Mrs.,Karol905,Romaguera67,,Willms744,M,white,scottish,F,Lehmanship  Pennsylvania  US,358 Beahan Grove,Pittsburgh,Pennsylvania,15106
