Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,ZIP
9e0628ed-345c-4d49-826f-afa4b473ff0d,1983-07-20,,999-13-5937,S99929679,X69640488X,Mr.,Shelton25,Becker968,,,M,white,italian,M,Sudbury  Massachusetts  US,958 Hane Loaf Suite 93,Springfield,Massachusetts,01013
46f2580a-d9d4-499d-b2b5-6ae9ee91b757,2001-06-17,,999-21-2773,S99959863,,Ms.,Arlena205,Konopelski743,,,,white,irish,F,Lowell  Massachusetts  US,651 Becker Gardens Unit 13,Rockport,Massachusetts,01966
fc08cc73-8c66-466f-8f2b-7a0aaff70e15,1951-01-18,2014-05-21,999-19-2367,S99926823,X75681373X,Mrs.,Sau887,Romaguera67,,McGlynn426,M,white,english,F,Littleton  Massachusetts  US,584 Bogisich Heights Apt 53,Northampton,Massachusetts,01053
61f4fc58-d3ae-4c48-a7f9-dae2e8ff92fa,1990-07-01,,999-71-8452,S99956610,X51320173X,Ms.,Lucia634,Shields502,,,S,black,african,F,Berkley  Massachusetts  US,419 Olson Heights,Wayland,Massachusetts,01778
b93a5aae-92ee-402b-a0ab-b32d12f2c2f6,2011-10-14,,999-81-3481,,,,Germán350,Atencio773,,,,hispanic,puerto_rican,M,Ponce  Puerto Rico  PR,417 Terry Walk Apt 9,Danvers,Massachusetts,01923
760bfab6-6f2f-4124-ad66-476f6aa69c46,1943-11-25,,999-35-3384,S99971682,X60220474X,Mr.,Long300,Mayer370,,,M,white,french,M,Harwich  Massachusetts  US,530 McLaughlin Divide,Braintree Town,Massachusetts,02184
798eaead-39c0-4e9b-86ae-f45fa84bcdc6,1953-08-12,,999-16-7780,S99996948,X52051447X,Mrs.,Kym935,Schultz619,,Kub800,M,white,russian,F,Moscow  Moscow  RU,840 Reinger Center Apt 6,Nantucket,Massachusetts,02554
fd288c12-099a-4a8d-8410-1b1e5dd12af0,1955-10-16,,999-94-9642,S99951366,X78988979X,Mr.,Elliott563,Nitzsche158,,,M,white,english,M,Methuen Town  Massachusetts  US,726 Willms Crossroad Apt 14,Dover,Massachusetts,02030
00d24507-4801-4ab6-a5f6-3efa6d37cc10,2015-10-30,,999-40-6949,,,,Isaias604,Ortiz186,,,,asian,chinese,M,Shanghai  Shanghai Municipality  CN,401 Wehner Village Suite 46,Beverly,Massachusetts,01915
5b3fc6a1-b07e-4be5-b2d8-b3a5f0e12551,1962-09-29,,999-31-9594,S99973792,X6228024X,Mrs.,Gloria696,Tovar84,,Jaime666,M,hispanic,puerto_rican,F,San Juan  Puerto Rico  PR,388 Schaefer Wall Unit 3,Ashby,Massachusetts,01431
0b1e7975-8831-4b06-9ed0-07cb1baeb8cb,1951-01-18,2009-02-04,999-35-3311,S99995988,X33370248X,Ms.,Crysta430,Pfannerstill264,,,S,white,english,F,Plainville  Massachusetts  US,588 Leffler Terrace Unit 41,Northampton,Massachusetts,01053
23e18824-bd74-424e-a0b2-9db393b6bd22,1951-01-18,,999-42-2455,S99926390,X56670271X,Mrs.,Fidelia216,Wuckert783,,Durgan499,M,white,english,F,Boston  Massachusetts  US,415 Windler Crossing,Northampton,Massachusetts,01053
